,時間戳記,照片 Picture,品牌 Brand,衣服長度 Clothes Length,服裝部位 Clothing Part,上半身 衣服種類 Top Clothing Type,下半身衣服種類 Bottom Clothing Type,價格 Price
37,2024/10/23 上午 12:33:43,https://drive.google.com/open?id=1ZNO3sNjx56caI7At_nKAtH1sI_jmgYDP,H&M,短 short,上半身 Top,T-Shirt,,179
38,2024/10/23 上午 12:34:39,https://drive.google.com/open?id=16VVRlVC9GajHQCUGGpVlpePbN4PeMZ8G,H&M,短 short,洋裝 Dress,,,999
39,2024/10/23 上午 12:36:19,https://drive.google.com/open?id=1M0AE_jzgK_Zihc8VGwtDqy4d_-nBYpZG,H&M,短 short,洋裝 Dress,,,999
40,2024/10/23 上午 12:38:46,https://drive.google.com/open?id=1XdC3UNhOjIpD5GOV_rec36iyuXa39orG,H&M,長 long,上半身 Top,Shirt,,599
41,2024/10/23 上午 12:39:43,https://drive.google.com/open?id=1jYr0AeWR5xnk0WxvIJWspZTBI9YzydvV,H&M,短 short,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,499
42,2024/10/23 上午 12:42:20,https://drive.google.com/open?id=1PW0r1SHlMP1i3PAVgGzoeRBPAXqRM5x0,H&M,長 long,上半身 Top,毛衣 Sweater,,349
43,2024/10/23 上午 12:42:55,https://drive.google.com/open?id=1K1LCA2Tb8NS0vGkC7A1lVsECpvHovdLn,H&M,長 long,上半身 Top,毛衣 Sweater,,349
44,2024/10/23 上午 12:43:39,https://drive.google.com/open?id=1Lg0CXOUE3AVsCoN4sUqIqg1m8SR7kh-V,H&M,長 long,上半身 Top,毛衣 Sweater,,999
45,2024/10/23 上午 12:44:30,https://drive.google.com/open?id=12x2iqOgBtvGYrAm-IlBTxCvN3TpIjxPJ,H&M,長 long,上半身 Top,毛衣 Sweater,,399
46,2024/10/23 上午 12:45:22,https://drive.google.com/open?id=1PA4YmYonqNaB2b_unkLlpJL1JpaZuszM,H&M,短 short,上半身 Top,"Shirt, 背心 Vest",,699
47,2024/10/23 上午 12:46:11,https://drive.google.com/open?id=1VRgCvoQjrpkATRWTeiW1jge6p0tWfshx,H&M,短 short,上半身 Top,"Shirt, 背心 Vest",,999
48,2024/10/23 上午 12:47:11,https://drive.google.com/open?id=1410df95FlLH1H7x_xFJ1BeXwrFKk8_Nv,H&M,長 long,上半身 Top,毛衣 Sweater,,399
49,2024/10/23 上午 12:47:54,https://drive.google.com/open?id=1nhXjeeqA4jeW4sZ-LggF9zdjla0tLBfd,H&M,長 long,上半身 Top,外套 Jacket,,1799
50,2024/10/23 上午 12:48:54,https://drive.google.com/open?id=1b7BjxVmH1eoRC9z-xg6Rpz3nPu1pfTC5,H&M,長 long,上半身 Top,外套 Jacket,,1299
51,2024/10/23 上午 12:50:03,https://drive.google.com/open?id=1dNSQV9pAwhumKm2xtY6sXXgzrqwkFqmy,H&M,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,2499
52,2024/10/23 上午 12:50:55,https://drive.google.com/open?id=1EoIVCCAxw09axnxSM8ehDQv7Inj7pgt9,H&M,短 short,洋裝 Dress,,,899
53,2024/10/23 上午 12:51:45,https://drive.google.com/open?id=1jqf3GQew1riuJKONK6qLqMfpnQVgKG_u,H&M,長 long,下半身 Bottom,,工裝褲/裙 cargo pants/skirt,899
54,2024/10/23 上午 12:53:05,https://drive.google.com/open?id=1FmNN-lEdRXHN_ujVlS6f0ICvcr3Dhlwg,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,1299
55,2024/10/23 上午 12:53:43,https://drive.google.com/open?id=18-wkAJZdk9Mnltg8LZ4H6XwsXmjnZZO7,H&M,長 long,下半身 Bottom,,西裝褲 dress pants,999
56,2024/10/23 上午 12:55:01,https://drive.google.com/open?id=1mtR14svgcutDklARZXTrWO3covFh4KTJ,H&M,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,899
57,2024/10/23 上午 12:56:08,https://drive.google.com/open?id=1C9hEgjRha4gzu1Vw85kEG_BqN4cU--WM,H&M,長 long,上半身 Top,毛衣 Sweater,,799
58,2024/10/23 上午 12:56:45,https://drive.google.com/open?id=1xVgYeTFxJVhAdJH92oY2Yc8zQglnU-Bk,H&M,長 long,上半身 Top,毛衣 Sweater,,599
59,2024/10/23 上午 12:58:07,https://drive.google.com/open?id=1HDJ_k07cQ-aVgDgO6wnWfuw7Vs1J-mdk,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,699
60,2024/10/23 上午 12:58:39,https://drive.google.com/open?id=1UFTQsIK3vLOBv6u9FQJgRAO_9S6rkj1r,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,999
61,2024/10/23 上午 12:59:22,https://drive.google.com/open?id=1cxzvLICi-Ag3NVdh21FeCNyEaFwduKS3,H&M,長 long,上半身 Top,"連帽衣 Hoodie, 外套 Jacket",,649
62,2024/10/23 上午 1:00:32,https://drive.google.com/open?id=1OApYMXdXcIGwka3s75LLRTzuaz7DLn9k,H&M,短 short,上半身 Top,T-Shirt,,199
63,2024/10/23 上午 1:01:06,https://drive.google.com/open?id=1fkoKauXx-HSTXpi7jpvFpwXr3QPBiTm0,H&M,短 short,上半身 Top,T-Shirt,,199
64,2024/10/23 上午 1:01:44,https://drive.google.com/open?id=16r8NeTvsE5tGqaeY1lylBTBDRUuwfwOL,H&M,長 long,下半身 Bottom,,運動褲/裙 sweat pants / sports skirt,649
65,2024/10/23 上午 1:02:28,https://drive.google.com/open?id=1siFFQrpG80hxaQNKFXdnlPEbq0T6YSgg,H&M,短 short,上半身 Top,背心 Vest,,249
66,2024/10/23 上午 1:04:24,https://drive.google.com/open?id=18oyqXiNfM239275OrVfuHLtnyRLzPeAt,H&M,短 short,上半身 Top,背心 Vest,,249
67,2024/10/23 上午 1:04:59,https://drive.google.com/open?id=1E12BLs4ioNVUq6S6aOEP1QDWrhUzo6oX,H&M,短 short,上半身 Top,T-Shirt,,599
68,2024/10/23 上午 1:05:35,https://drive.google.com/open?id=18rECDFJWOelrCNP79s6iU8dZ2jjY7GMN,H&M,短 short,洋裝 Dress,,,999
69,2024/10/23 上午 1:06:10,https://drive.google.com/open?id=1ORFMvcsWULtQk6RCP9bH0S7MuLuyHfqM,H&M,短 short,上半身 Top,T-Shirt,,199
70,2024/10/23 上午 1:07:00,https://drive.google.com/open?id=1XTplEKC-2HijoZ5gcocQf6-FIZAm_b7_,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,999
71,2024/10/23 上午 1:07:46,https://drive.google.com/open?id=1l2CJCmAJRDhC2Shee7JswW-G5XI0dZwf,H&M,短 short,上半身 Top,T-Shirt,,249
72,2024/10/23 上午 1:08:23,https://drive.google.com/open?id=1scPofXkTZqt7zraVsxH99cv78z2qO6TV,H&M,短 short,上半身 Top,T-Shirt,,249
73,2024/10/23 上午 1:10:00,https://drive.google.com/open?id=1NbeJBT_2CbHqJiitC3MUX7tISLdgt3wo,H&M,短 short,洋裝 Dress,,,899
74,2024/10/23 上午 1:10:40,https://drive.google.com/open?id=1HLg43yRsFlNrfSB06jx5TUVmWvRnNCWQ,H&M,短 short,洋裝 Dress,,,899
75,2024/10/23 上午 1:12:13,https://drive.google.com/open?id=1bYHq-GBE6xWgl5dKJQY9zja1ci-1HXVc,H&M,短 short,洋裝 Dress,,,899
76,2024/10/23 上午 1:13:31,https://drive.google.com/open?id=1Q6d877VmSvVVTkgkPF5ach-Ev8IPgOuh,H&M,短 short,洋裝 Dress,,,899
77,2024/10/23 上午 1:14:48,https://drive.google.com/open?id=1oaUOFzzLaa37OWhKIse0xvxgFUT9afi5,H&M,短 short,洋裝 Dress,,,699
78,2024/10/23 上午 1:15:39,https://drive.google.com/open?id=1EqgCi6Ytoxc6WUyg6rycaAg-rnWK9Gc1,H&M,短 short,上半身 Top,T-Shirt,,179
79,2024/10/23 上午 1:16:59,https://drive.google.com/open?id=1l0sO8Kj0yv2nnmuaeI4aWO-7jshLOVi5,H&M,長 long,上半身 Top,毛衣 Sweater,,1299
80,2024/10/23 上午 1:17:37,https://drive.google.com/open?id=1gNxua3ZYMhWBguyhOr2HmolsldAjVAul,H&M,長 long,上半身 Top,毛衣 Sweater,,499
81,2024/10/23 上午 1:19:40,https://drive.google.com/open?id=1a7VXA0n_YOJOKsy9UCLVWf8chEfGwdrX,H&M,長 long,上半身 Top,"Shirt, 毛衣 Sweater",,1299
82,2024/10/21 下午 9:17:33,https://drive.google.com/open?id=1UAn1T5_ZCfhLC0JnTr92meBezxuRxMdk,Net,長 long,上半身 Top,T-Shirt,,419
83,2024/10/21 下午 9:18:11,https://drive.google.com/open?id=1Rm4bQL2WdtRlKFCVZzoy87i1o1P0V1Zf,Net,長 long,上半身 Top,T-Shirt,,279
84,2024/10/21 下午 9:18:54,https://drive.google.com/open?id=1uwQI00gBNshaYWt89RbDpw1Np7xom94t,Net,長 long,上半身 Top,網紗 Mesh,,439
85,2024/10/21 下午 9:19:26,https://drive.google.com/open?id=1wJ6-a8FLzl9BeDZWpkr7XDXpuFOoRcyp,Net,長 long,上半身 Top,T-Shirt,,459
86,2024/10/21 下午 9:20:48,https://drive.google.com/open?id=1BVpvr9v-vu15LXZRKUdeR5JxESv8sby1,Net,長 long,上半身 Top,"T-Shirt, 連帽衣 Hoodie",,329
87,2024/10/21 下午 9:21:23,https://drive.google.com/open?id=11Sauh7CEdyX3QBn5rXGQujoWZt3rn-7Z,Net,長 long,上半身 Top,T-Shirt,,299
88,2024/10/21 下午 9:21:58,https://drive.google.com/open?id=1tQeRlosV3KDTf3bcfLQ6dHJgK63ZRQne,Net,長 long,上半身 Top,T-Shirt,,589
89,2024/10/21 下午 9:22:31,https://drive.google.com/open?id=18bP-hpQ4XBBC2C9J2n_rLuvbXbUhykXY,Net,長 long,上半身 Top,T-Shirt,,220
90,2024/10/21 下午 9:23:07,https://drive.google.com/open?id=11lxrsOAUz51H6IwkTk-w9qYNt_tafm2-,Net,長 long,上半身 Top,T-Shirt,,299
91,2024/10/21 下午 9:23:47,https://drive.google.com/open?id=12WUYLsmC3vPFYogogafsjo9uFribCezi,Net,長 long,上半身 Top,T-Shirt,,229
92,2024/10/21 下午 9:24:25,https://drive.google.com/open?id=1wGNtQUrWGXQtV1sKTEFF55ajSyhnfsq8,Net,短 short,上半身 Top,"背心 Vest, 連帽衣 Hoodie",,899
93,2024/10/21 下午 9:25:02,https://drive.google.com/open?id=1LEiy9hrz1dXPf5qe6Ctdg6BP-RyhMne1,Net,長 long,上半身 Top,T-Shirt,,499
94,2024/10/21 下午 9:25:41,https://drive.google.com/open?id=1lrx1O9ERnSjtO3ZAU1fpEXeoUxlmYh-x,Net,長 long,上半身 Top,網紗 Mesh,,499
95,2024/10/21 下午 9:26:16,https://drive.google.com/open?id=1Tc8XZOxQNc9rRnmNmayMWXqDKPH97KUo,Net,長 long,上半身 Top,T-Shirt,,359
96,2024/10/21 下午 9:26:47,https://drive.google.com/open?id=1xeJvyLN74HQgEsK-mHGtCYb9NpbN9mWl,Net,長 long,上半身 Top,T-Shirt,,289
97,2024/10/21 下午 9:27:32,https://drive.google.com/open?id=1ibt4QVfVp0DQ1NmLMHIDX5OlJdSICZTq,Net,長 long,上半身 Top,T-Shirt,,399
98,2024/10/21 下午 9:29:38,https://drive.google.com/open?id=1PyuP-WxOxU6uWVhtEwTJvVeZVlvoCMX3,Net,長 long,上半身 Top,Shirt,,349
99,2024/10/21 下午 9:30:10,https://drive.google.com/open?id=1hFdmRWDx7STvGl41ZMIyMrtjkMWg2exe,Net,長 long,上半身 Top,T-Shirt,,459
100,2024/10/21 下午 9:30:48,https://drive.google.com/open?id=1y8kaUpbSdlWhgeg9NzrY-biKQKqYNhM9,Net,短 short,上半身 Top,T-Shirt,,379
101,2024/10/21 下午 9:31:26,https://drive.google.com/open?id=18BDFRQ3Kax_MbekYAnJe3unP7_Pe06lm,Net,長 long,上半身 Top,T-Shirt,,359
102,2024/10/21 下午 9:32:06,https://drive.google.com/open?id=1ada_jDxkYe3NHV-utFbguAOiI-3ASFSv,Net,長 long,上半身 Top,T-Shirt,,189
103,2024/10/21 下午 9:32:44,https://drive.google.com/open?id=1XyT4_z8uhBKzktzd4aEaPfbZxyq2ZHT5,Net,短 short,上半身 Top,背心 Vest,,799
104,2024/10/21 下午 9:33:19,https://drive.google.com/open?id=1jMUlws75kc4YGEhQDLI0WLt_MZ5RU_g0,Net,長 long,上半身 Top,T-Shirt,,539
105,2024/10/21 下午 9:33:58,https://drive.google.com/open?id=1_7_SPwZKBZNgn3K7rDOOpYvDneoIn8ov,Net,長 long,上半身 Top,T-Shirt,,499
106,2024/10/21 下午 9:35:48,https://drive.google.com/open?id=1tzrAHDQw2iiVx-CBc4RU9Fc3g4JJU4k5,Net,長 long,上半身 Top,T-Shirt,,120
107,2024/10/21 下午 9:37:54,https://drive.google.com/open?id=1IUm98qfJV7rQ3i_u3Suo7GpGP1oRJU0D,Net,長 long,上半身 Top,T-Shirt,,699
108,2024/10/21 下午 9:38:53,https://drive.google.com/open?id=1OFs8IT0ivmMBpXn4amfvc23tOwruD_W-,Net,長 long,上半身 Top,"T-Shirt, 網紗 Mesh",,499
109,2024/10/21 下午 9:39:31,https://drive.google.com/open?id=1G95s6yEiB6MRxqd1zWgPy6uhaibMyyiO,Net,長 long,上半身 Top,T-Shirt,,499
110,2024/10/21 下午 9:40:05,https://drive.google.com/open?id=1gHHjl_0DaWf6ovo6FJ52wnbWKUd-8XCL,Net,長 long,上半身 Top,T-Shirt,,659
111,2024/10/21 下午 9:40:48,https://drive.google.com/open?id=1QrPQwLQXwf5bcVc4kkQ0_wiQm_TmZ-ev,Net,長 long,上半身 Top,T-Shirt,,299
112,2024/10/21 下午 9:41:19,https://drive.google.com/open?id=1dzKIfqQdIkC6jjVNnxBBZ871VUQEQCzH,Net,長 long,上半身 Top,T-Shirt,,499
113,2024/10/21 下午 9:42:13,https://drive.google.com/open?id=1kRQWMh-WNQpQZFIKG_P82Cdk13trXF0F,Net,長 long,上半身 Top,連帽衣 Hoodie,,399
114,2024/10/21 下午 9:42:45,https://drive.google.com/open?id=1KwL1WgOICAmvusrj2ucj0Gd_lutPQWqP,Net,長 long,上半身 Top,T-Shirt,,399
115,2024/10/21 下午 9:45:47,https://drive.google.com/open?id=19XqA-PONzSkC5y9MtjaV_qy8AgNS9p6S,Net,長 long,上半身 Top,連帽衣 Hoodie,,459
116,2024/10/21 下午 9:46:38,https://drive.google.com/open?id=1Zd-wIqh7VgtMrH_fgml0-13ZYPitcBAH,Net,長 long,上半身 Top,T-Shirt,,459
117,2024/10/21 下午 9:47:12,https://drive.google.com/open?id=1gX3upfWgLPDxtvBKk7s15r1JAvgFBshB,Net,長 long,上半身 Top,T-Shirt,,299
118,2024/10/21 下午 9:48:05,https://drive.google.com/open?id=1y0yJVrMB_TaiHPN7ar6P0n5I5ASKgNXA,Net,長 long,上半身 Top,T-Shirt,,359
119,2024/10/21 下午 9:48:43,https://drive.google.com/open?id=1KtJ01FoPn6gwsnkMbCGCxQr6pqstV_Jr,Net,長 long,上半身 Top,T-Shirt,,379
120,2024/10/21 下午 9:49:28,https://drive.google.com/open?id=1H2uNYJrpZxl-aYNT8XN-XbuB3MGBvezJ,Net,長 long,上半身 Top,T-Shirt,,299
121,2024/10/21 下午 9:50:08,https://drive.google.com/open?id=1wE8PU1-Gdc-xC47JCY4gKORbi60d_Lqk,Net,長 long,上半身 Top,T-Shirt,,499
122,2024/10/21 下午 10:12:39,https://drive.google.com/open?id=1Nd8WlJP4Tno7DJnoxS7p91xSv6rf4WCY,Net,長 long,上半身 Top,Shirt,,439
123,2024/10/21 下午 10:13:16,https://drive.google.com/open?id=1LFug6dofmDcQQq8nHEpapW6il04ycGuw,Net,長 long,上半身 Top,Shirt,,459
124,2024/10/21 下午 10:14:26,https://drive.google.com/open?id=10WumzAFB-4qaOux1oKIMe-7jnaxmKApU,Net,短 short,上半身 Top,Shirt,,399
125,2024/10/21 下午 10:15:04,https://drive.google.com/open?id=1Uti7bb4usyxOAaR6Eqrmg3ISxiyV38Fc,Net,長 long,上半身 Top,Shirt,,439
126,2024/10/21 下午 10:15:52,https://drive.google.com/open?id=1c2fVDH7Mm81hKTZ0HiNs1MJfEZ7MBQsV,Net,長 long,上半身 Top,Shirt,,459
127,2024/10/21 下午 10:20:54,https://drive.google.com/open?id=1_zUl9OAHi-bcQ21Sd6xLKdbaXbd7IpRC,Net,長 long,上半身 Top,Shirt,,459
128,2024/10/21 下午 10:21:44,https://drive.google.com/open?id=1khBgA1jfY2xZ2b0p3ECRv2XzU9qeua_d,Net,長 long,上半身 Top,Shirt,,399
129,2024/10/21 下午 10:22:19,https://drive.google.com/open?id=1Zv3cnyFI3heK8n0skAVzpALW-9MUJgJ4,Net,長 long,上半身 Top,"Shirt, 連帽衣 Hoodie",,359
130,2024/10/21 下午 10:23:00,https://drive.google.com/open?id=1nEV9XBFvwazuRgyaZ1haIsGIavNC3n1L,Net,長 long,上半身 Top,Shirt,,449
131,2024/10/21 下午 10:23:45,https://drive.google.com/open?id=11lrN_oqaiZ-6kgNCl2nCWE1Azb_oZgLh,Net,長 long,上半身 Top,Shirt,,499
132,2024/10/21 下午 10:24:24,https://drive.google.com/open?id=1NVkj8mWfNRmsRYD-kO11ILpTSpksk25U,Net,長 long,上半身 Top,Shirt,,499
133,2024/10/21 下午 10:24:55,https://drive.google.com/open?id=1ges8M0ZqwoO0wA6UbDywMZlhFiVbMXdS,Net,長 long,上半身 Top,Shirt,,479
134,2024/10/21 下午 10:27:29,https://drive.google.com/open?id=13xEcy0lQ3HJSq-vdvMFHiXCTw14pQK3Y,Net,長 long,上半身 Top,T-Shirt,,439
135,2024/10/21 下午 10:28:09,https://drive.google.com/open?id=1o43OsMBa0NrN3pF7_WeIJMpX4V7VNskg,Net,長 long,上半身 Top,Shirt,,379
136,2024/10/21 下午 10:29:32,https://drive.google.com/open?id=16HZjQdRQj9BJ0e2A3EjcPb-aFmAe8Jpw,Net,長 long,上半身 Top,T-Shirt,,399
137,2024/10/21 下午 10:30:16,https://drive.google.com/open?id=1Ir4KNjQn_3hVYpoXfG4a0QYSahO218_s,Net,長 long,上半身 Top,Shirt,,479
138,2024/10/21 下午 10:31:27,https://drive.google.com/open?id=11mHhdfKuY0kxYIs-AY7nxLV1UDLZGZXP,Net,長 long,上半身 Top,Shirt,,499
139,2024/10/21 下午 10:32:54,https://drive.google.com/open?id=15vtjzNAwrMUHkYOTkqyDslVGBs4vLNH1,Net,長 long,上半身 Top,Shirt,,579
140,2024/10/21 下午 10:33:53,https://drive.google.com/open?id=1XkqRomg8pus2phCzDUJEAWc6M5vsbz9Z,Net,長 long,上半身 Top,Shirt,,359
141,2024/10/21 下午 10:34:56,https://drive.google.com/open?id=1kB81Ro_7yidwnV7PK9Nbpw_JRir_j9UN,Net,長 long,上半身 Top,Shirt,,399
142,2024/10/21 下午 10:35:44,https://drive.google.com/open?id=1lKsFa90gAkfqVle6zgao9b0lV8KwWrDc,Net,長 long,上半身 Top,Shirt,,459
143,2024/10/21 下午 10:36:34,https://drive.google.com/open?id=1XhC5FK_yHZUTieE6oxAU_1Wy6Y-9ZVK1,Net,長 long,上半身 Top,Shirt,,449
144,2024/10/21 下午 10:37:12,https://drive.google.com/open?id=1Dkq_e1wI1H4NVHFhDldtd7lIhg-ixmOK,Net,長 long,上半身 Top,Shirt,,499
145,2024/10/21 下午 10:38:07,https://drive.google.com/open?id=1RN8YG13gsJZ831LjnwOnl5d-4oW-4dKs,Net,短 short,上半身 Top,Shirt,,359
146,2024/10/21 下午 11:53:32,https://drive.google.com/open?id=1EX2cJh1qCDI_16ofGNkgk5bpxnGyzLwz,Net,長 long,上半身 Top,Shirt,,499
147,2024/10/21 下午 11:54:18,https://drive.google.com/open?id=1nwvelf7D98YYBtiZSKmyXDggqPBtHmkr,Net,長 long,上半身 Top,"Shirt, 連帽衣 Hoodie",,459
148,2024/10/21 下午 11:55:32,https://drive.google.com/open?id=17nVubtFvJiGefFAUNWpWRDOh_rUx3WIz,Net,長 long,上半身 Top,Shirt,,459
149,2024/10/21 下午 11:56:09,https://drive.google.com/open?id=1VMxp69TD98B0ljUpZRl9p_W47kzrFMBi,Net,長 long,上半身 Top,Shirt,,499
150,2024/10/21 下午 11:56:50,https://drive.google.com/open?id=1BdS_S0idLUIpvHXj45InoAicBKfGyzyb,Net,長 long,上半身 Top,Shirt,,399
151,2024/10/21 下午 11:58:06,https://drive.google.com/open?id=1xnU-kxPta3-CyrUkQL1Q93mNOOGLhS0Q,Net,長 long,上半身 Top,Shirt,,359
152,2024/10/21 下午 11:58:39,https://drive.google.com/open?id=1AnxxRe5tUQ0OGRkiqVuXrqn4-UCx_2sP,Net,短 short,上半身 Top,Shirt,,269
